Sample Number,Date event 1,Tap Stand ID,Time event 1,FRC (mg/l),TRC (mg/l),Temp (Cent) ,Container,Cont.Colour,Cont.Opacity,Cont.Covered,Cont.Clean,HH Ident,Same Cont.,Same Water,How full (%),Method Drawing,Cont.type,Cont.colour,Cont.opacity,Cont.covered,Cont.Clean,Cont.outside,Date event 2,Time vent 2,FRC (mg/l),TRC (mg/l),Temp (Cent),Time Substract,Time Elapsed,FRC (Tap-HH),TRC (Tap-HH)
66,13-Sep-16,12A,16:05,0.76,0.81,28,Bucket,Orange,Opaque,No,No,21ETP/6/005,Yes,Yes,10,Dip Glass,Bucket,Orange,Opaque,No,No,No,14-Sep-16,11:23,0.01,0.06,31,19:18:00,19.3,0.75,0.75
67,13-Sep-16,12B,16:21,0.7,0.79,28,Jerry can,Yello,Opaque,Yes,Yes,23ETP/5/004,Yes,Yes,2,Pour out,Jerry Can,Yellow,Opaque,Yes,Yes,No,14-Sep-16,15:45,0.18,0.24,31,23:24:00,23.4,0.52,0.55
68,13-Sep-16,12B,16:31,0.71,0.82,28,Bucket,White,Opaque,No,No,24ETP/1/006,No,Yes,85,Dip Glass,Bucket,Green,Opaque,No,No,No,14-Sep-06,15:52,0.32,0.41,31,23:21:00,23.35,0.39,0.41
69,13-Sep-16,12B,16:38,0.7,0.73,28,Bucket,Red,Opaque,Yes,Yes,24ETP/8/007,Yes,Yes,20,Dip Glass,Bucket,Red,Opaque,No,Yes,No,14-Sep-16,16:01,0.2,0.71,31,23:23:00,23.38333333,0.5,0.02
70,14-Sep-16,9B,16:32,0.85,0.156,31,Jerry can,White,Translucent,No,No,29ETP/7/004,Yes,Yes,70,Pour out,Jerry Can,White,Translucent,No,No,No,15-Sep-16,9:00,0.7,0.65,30,16:28:00,16.46666667,0.15,-0.494
71,14-Sep-16,9B,16:28,0.61,0.64,31,Bucket,White,Opaque,Yes,Yes,28ETP/2/001,Yes,Yes,10,Dip Glass,Bucket,White,Opaque,Yes,No,No,15-Sep-16,8:52,0.07,0.12,30,16:24:00,16.4,0.54,0.52
72,14-Sep-16,9B,16:40,0.71,0.72,31,Jerry can,White,Translucent,Yes,Yes,27ETP/4/003,Yes,Yes,80,Pour out,Jerry Can,White,Translucent,No,Yes,No,15-Sep-16,9:12,0.59,1.3,30,16:32:00,16.53333333,0.12,-0.58
73,14-Sep-16,46,17:01,0.73,0.73,31,Jerry can,White,Translucent,No,No,28ETP/3/005,Yes,Yes,15,Pour out,Jerry Can,White,Translucent,No,No,No,15-Sep-16,8:47,0.37,0.41,30,15:46:00,15.76666667,0.36,0.32
,,,,,,,,,,,,,,,,,,,,,,,,,0.645544554,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.696,,,,0,,
